Câu hỏi,Câu trả lời
"Khi muốn sử dụng tạm thời lòng đường, vỉa hè phục vụ sự kiện, cần làm gì?","Cơ quan, tổ chức, cá nhân có nhu cầu phải có phương án và được cơ quan có thẩm quyền cho phép; cơ quan cho phép phải gửi thông báo ngay cho cơ quan Cảnh sát giao thông."
Thành viên trong gia đình có trách nhiệm gì về tuyên truyền giao thông?,"Có trách nhiệm tuyên truyền, nhắc nhở thành viên khác chấp hành pháp luật về trật tự, an toàn giao thông đường bộ."
Giáo dục kiến thức pháp luật về giao thông đường bộ được thực hiện cho đối tượng nào?,"Trẻ em của cơ sở giáo dục mầm non, học sinh của cơ sở giáo dục phổ thông và cơ sở giáo dục nghề nghiệp."
Lực lượng Cảnh sát giao thông có trách nhiệm gì về hướng dẫn kỹ năng lái xe cho học sinh?,"Có trách nhiệm chủ trì, phối hợp với cơ quan quản lý trường trung học phổ thông, cơ sở giáo dục nghề nghiệp tổ chức hướng dẫn kỹ năng lái xe gắn máy an toàn cho học sinh."
Khi nào người bị nạn trong tai nạn giao thông có thể rời khỏi hiện trường?,"Trường hợp phải đi cấp cứu, đưa người bị nạn đi cấp cứu hoặc xét thấy bị đe dọa đến tính mạng, sức khỏe nhưng phải đến trình báo ngay cơ quan Công an, Ủy ban nhân dân nơi gần nhất."
Xe ô tô chở hàng chở người trên thùng xe trong những trường hợp nào được phép?,"Chở người đi làm nhiệm vụ cứu nạn, cứu hộ, phòng chống thiên tai, dịch bệnh hoặc thực hiện nhiệm vụ khẩn cấp; chở người bị nạn đi cấp cứu; chở lực lượng vũ trang đi làm nhiệm vụ khẩn cấp; chở người đi thực hành lái xe, dự sát hạch; chở người diễu hành khi được phép."
Khi lùi xe không được thực hiện ở những địa điểm nào?,"Không được lùi xe ở đường một chiều, khu vực cấm dừng, trên phần đường dành cho người đi bộ, nơi đường giao nhau, đường sắt giao nhau, nơi tầm nhìn bị che khuất, trong hầm đường bộ, trên đường cao tốc."
"Khi qua phà, ai được phép ở lại trên xe?","Người lái xe, người điều khiển xe máy chuyên dùng, trẻ em, phụ nữ mang thai, người già yếu, người khuyết tật, người bệnh."
Thứ tự ưu tiên qua phà từ cao xuống thấp là gì?,Xe ưu tiên; xe chở thư báo; xe chở thực phẩm tươi sống; xe chở khách công cộng.
"Khi xe bị hư hỏng tại đường ngang đường sắt, người điều khiển phải làm gì?","Phải ngay lập tức báo hiệu để dừng tàu, thực hiện các biện pháp bảo đảm an toàn."
"Khi đến đường ngang không có người gác, chuông, đèn tín hiệu, người tham gia giao thông phải làm gì?","Phải dừng lại về bên phải đường của mình, trước vạch dừng xe và quan sát hai phía, khi không có phương tiện giao thông đường sắt tới mới được đi qua."
Một xe ô tô kéo xe khác chỉ được kéo tối đa bao nhiêu xe?,Chỉ được kéo theo một xe ô tô hoặc xe máy chuyên dùng khác.
"Khi kéo xe, phía trước xe kéo và phía sau xe được kéo phải có gì?","Phải có biển báo hiệu, có đèn cảnh báo nhấp nháy màu vàng."
"Không được chở người trên xe được kéo, trừ trường hợp nào?",Trừ người điều khiển.
Người đi bộ chỉ được qua đường ở những nơi nào?,"Ở những nơi có đèn tín hiệu, có vạch kẻ đường hoặc có cầu vượt, hầm dành cho người đi bộ."
Người khiếm thị khi đi trên đường bộ phải làm gì?,Phải có người dẫn dắt hoặc có công cụ để báo hiệu cho người khác nhận biết là người khiếm thị.
"Người điều khiển xe đạp, xe đạp máy không được thực hiện những hành vi nào?","Các hành vi tương tự như người lái xe mô tô, xe gắn máy bao gồm không được đi dàn hàng ngang, không được vào phần đường dành cho người đi bộ..."
Người điều khiển xe thô sơ chỉ được cho xe đi như thế nào?,Chỉ được cho xe đi hàng một.
"Cơ quan, tổ chức được khen thưởng hoặc hưởng quyền lợi gì khi tham gia bảo đảm trật tự giao thông?","Có thành tích thì được khen thưởng; bị thiệt hại về tài sản thì được đền bù; người bị tổn hại về danh dự, nhân phẩm thì được khôi phục; người bị thương, tổn hại sức khỏe, tính mạng thì được hưởng chế độ, chính sách."
Kết luận vụ tai nạn giao thông đường bộ phải xác định những nội dung gì?,"Diễn biến, hậu quả thiệt hại, nguyên nhân, lỗi và điều kiện liên quan trực tiếp; đề xuất xử lý; kiến nghị khắc phục sơ hở, thiếu sót."
Cơ quan nào chủ trì thống kê tai nạn giao thông đường bộ?,"Cơ quan Cảnh sát giao thông chủ trì, phối hợp thống kê."
Cơ sở khám bệnh cần cung cấp thông tin gì cho cơ quan Cảnh sát giao thông?,"Cung cấp thông tin thống kê người bị tai nạn giao thông đường bộ vào khám bệnh, chữa bệnh tại cơ sở."
Giấy phép lái xe chứng nhận nguồn gốc xe phải đảm bảo điều kiện gì khi cấp mới?,Phải có: chứng nhận nguồn gốc xe; chứng nhận quyền sở hữu hợp pháp; chứng từ hoàn thành nghĩa vụ tài chính.
Giấy phép lái xe bị thu hồi trong những trường hợp nào?,Người được cấp không đủ điều kiện sức khỏe; giấy phép lái xe được cấp sai quy định; giấy phép lái xe đã quá thời hạn tạm giữ mà người vi phạm không đến nhận.
"Hợp tác quốc tế về trật tự, an toàn giao thông đường bộ bao gồm những nội dung gì?","Ký kết điều ước quốc tế; trao đổi thông tin, chuyển giao công nghệ; đào tạo, tập huấn nâng cao năng lực; tăng cường điều kiện vật chất; giải quyết tai nạn giao thông; các nội dung hợp tác khác."
Bộ Công an có vai trò gì trong hợp tác quốc tế về giao thông đường bộ?,"Chủ trì, phối hợp với các Bộ, ngành liên quan giúp Chính phủ đàm phán, ký kết điều ước quốc tế, thỏa thuận quốc tế về trật tự, an toàn giao thông đường bộ."
"Nguyên tắc bảo đảm trật tự, an toàn giao thông đường bộ đầu tiên là gì?","Tuân thủ Hiến pháp, pháp luật Việt Nam và điều ước quốc tế mà Việt Nam là thành viên."
"Trách nhiệm bảo đảm trật tự, an toàn giao thông đường bộ thuộc về ai?","Là trách nhiệm của cơ quan, tổ chức, cá nhân."
"Hoạt động bảo đảm trật tự, an toàn giao thông đường bộ phải đảm bảo những nguyên tắc nào?","Phải công khai, minh bạch và thuận lợi cho người dân."
Nhà nước có chính sách gì về ưu tiên phương tiện xanh?,"Ưu tiên chuyển đổi phương tiện sử dụng nhiên liệu hóa thạch sang phương tiện sử dụng điện, năng lượng xanh, thân thiện môi trường."
Nhà nước có chính sách gì về phương tiện vận tải công cộng?,"Ưu tiên phát triển phương tiện vận tải công cộng, hạn chế sử dụng phương tiện giao thông cá nhân tại các đô thị lớn."
"Cơ sở thông tin, truyền thông có trách nhiệm gì về tuyên truyền giao thông?","Có trách nhiệm tổ chức tuyên truyền, phổ biến pháp luật về trật tự, an toàn giao thông đường bộ trên các phương tiện thông tin, truyền thông đại chúng."
Mặt trận Tổ quốc Việt Nam có trách nhiệm gì về trật tự giao thông?,"Có trách nhiệm phối hợp với cơ quan hữu quan và chính quyền địa phương tuyên truyền, vận động Nhân dân thực hiện pháp luật về trật tự, an toàn giao thông đường bộ."
"Cơ sở dữ liệu về trật tự, an toàn giao thông đường bộ được kết nối với những cơ sở dữ liệu nào?","Được kết nối, chia sẻ với Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu đường bộ và các cơ sở dữ liệu khác có liên quan."
"Trung tâm chỉ huy giao thông được kết nối, chia sẻ dữ liệu với những hệ thống nào?","Hệ thống đèn tín hiệu giao thông; hệ thống giám sát an ninh, trật tự; hệ thống quản lý dữ liệu thiết bị giám sát hành trình; hệ thống camera; thiết bị thông minh; trung tâm quản lý giao thông thông minh; công trình kiểm soát tải trọng xe."
"Người lái xe được quyền tố cáo hành vi vi phạm pháp luật trong hoạt động tuần tra, kiểm soát không?","Có, được tố cáo theo quy định của pháp luật về tố cáo."
"Người điều khiển phương tiện có nghĩa vụ gì đối với lực lượng tuần tra, kiểm soát?","Phải chấp hành hiệu lệnh dừng phương tiện; hỗ trợ, hợp tác với lực lượng bảo đảm trật tự, an toàn giao thông đường bộ trong quá trình phát hiện, ngăn chặn và xử lý vi phạm."
"Khi người tham gia giao thông không chấp hành yêu cầu kiểm tra, người thi hành công vụ phải làm gì đầu tiên?","Giải thích cho người vi phạm biết rõ về hành vi vi phạm; quyền và trách nhiệm của người vi phạm; thuyết phục, yêu cầu chấm dứt ngay hành vi vi phạm."
"Khi người điều khiển phương tiện không chấp hành tín hiệu dừng xe và bỏ chạy, người thi hành công vụ có thể làm gì?",Được thực hiện quyền truy đuổi để ngăn chặn và xử lý hành vi vi phạm.
"Hệ thống giám sát bảo đảm an ninh, trật tự an toàn giao thông đường bộ có chức năng gì?","Thu thập tín hiệu, dữ liệu, âm thanh, hình ảnh về hành trình phương tiện, tình trạng giao thông; giám sát tình hình an ninh, trật tự; phát hiện vi phạm pháp luật."
Cơ sở đăng kiểm có trách nhiệm gì đối với phương tiện vi phạm hành chính?,Phải từ chối kiểm định phương tiện vi phạm khi chủ phương tiện chưa thực hiện xong yêu cầu của cơ quan nhà nước có thẩm quyền.
Chủ xe có trách nhiệm gì khi chưa thu hồi chứng nhận đăng ký xe?,"Tổ chức, cá nhân đứng tên trong giấy chứng nhận đăng ký xe tiếp tục chịu trách nhiệm của chủ xe khi chưa thực hiện thu hồi."
"Xe taxi đón, trả hành khách theo nguyên tắc nào?","Theo thỏa thuận giữa hành khách và người lái xe nhưng phải chấp hành các quy định của pháp luật về trật tự, an toàn giao thông đường bộ khi đón, trả hành khách."
"Xe vệ sinh môi trường, xe chở vật liệu xây dựng có quy định gì khi hoạt động?","Phải được che phủ kín, không để rơi vãi trên đường phố và có thời gian hoạt động theo quy định của Ủy ban nhân dân cấp tỉnh."
Ủy ban nhân dân cấp tỉnh có thẩm quyền gì về vận tải đô thị?,Quy định về hoạt động vận tải đường bộ trong đô thị và tỷ lệ phương tiện vận chuyển hành khách công cộng có thiết bị hỗ trợ cho người khuyết tật.
"Xe ô tô vận chuyển hành khách phải đón, trả hành khách như thế nào?","Đón, trả hành khách đúng nơi quy định; hướng dẫn sử dụng trang thiết bị an toàn trên xe."
Xe ô tô vận chuyển hành khách không được chở những loại hàng hóa nào?,"Không được chở hàng hóa nguy hiểm, hàng hóa cấm lưu hành, hàng lậu, động vật hoang dã, hàng có mùi hôi thối ảnh hưởng đến sức khỏe hành khách."
Người lái xe ô tô vận chuyển hành khách phải làm gì trước khi cho xe khởi hành?,"Phải kiểm tra các điều kiện bảo đảm an toàn của xe, hướng dẫn cho hành khách về an toàn giao thông đường bộ và thoát hiểm khi gặp sự cố."
"Khi vận chuyển hàng rời, vật liệu xây dựng, phế thải bằng xe ô tô phải đảm bảo gì?","Phải che đậy kín, không để rơi vãi xuống đường, chiều cao tối đa của hàng hóa phải thấp hơn mép trên thành thùng xe tối thiểu 10 cm."
"Khi vận chuyển hàng hoá xếp vượt phía sau xe, ban đêm phải có gì?",Phải có đèn hoặc báo hiệu cho người tham gia giao thông để nhận biết.
"Khi vận chuyển hàng hoá xếp vượt phía trước và phía sau xe, ban ngày phải có gì?",Phải có báo hiệu màu đỏ tại điểm đầu và điểm cuối cùng của hàng hoá.
"Khi qua cầu phao, xe cơ giới phải đi như thế nào?","Phải đi theo một hàng theo chiều di chuyển, không gây cản trở người, phương tiện đi ngược chiều."
"Khi lên bến phà, ai được lên trước?","Người đi bộ lên trước, các phương tiện giao thông đường bộ lên sau theo hướng dẫn của người điều khiển giao thông."
Giấy phép lái xe hạng CE cấp cho đối tượng nào?,Cấp cho người lái các loại xe ô tô quy định cho hạng C kéo rơ moóc có khối lượng toàn bộ theo thiết kế trên 750 kg; xe ô tô đầu kéo kéo sơ mi rơ moóc.
Giấy phép lái xe hạng DE cấp cho đối tượng nào?,Cấp cho người lái các loại xe ô tô quy định cho hạng D kéo rơ moóc có khối lượng toàn bộ trên 750 kg; xe ô tô chở khách nối toa.
"Khi nâng hạng giấy phép lái xe lên hạng D1, D2, D thì người học cần có điều kiện gì ngoài thời gian lái xe an toàn?",Phải có trình độ từ trung học cơ sở trở lên.
Cơ sở đào tạo lái xe ô tô cần đáp ứng điều kiện gì?,"Phải đáp ứng các điều kiện do Chính phủ quy định; có giáo trình, giáo án; thực hiện đào tạo theo đúng hình thức, nội dung và chương trình quy định."
Trung tâm sát hạch lái xe phải chia sẻ kết quả và dữ liệu giám sát quá trình sát hạch đến đâu?,"Đến cơ quan quản lý đào tạo, sát hạch, cấp giấy phép lái xe và cơ quan quản lý về trật tự, an toàn giao thông đường bộ để giám sát."
Sát hạch viên phải đáp ứng điều kiện gì?,"Phải có đủ điều kiện, tiêu chuẩn, được cấp thẻ sát hạch viên và phải chịu trách nhiệm về kết quả sát hạch của mình."
Phương tiện giao thông thông minh phải đáp ứng thêm điều kiện gì ngoài điều kiện thông thường?,Phải được cơ quan có thẩm quyền cấp phép hoạt động.
Ủy ban nhân dân cấp tỉnh có quyền gì về hoạt động của xe thô sơ?,"Quy định phạm vi hoạt động của xe thô sơ, xe chở hàng bốn bánh có gắn động cơ, xe chở người bốn bánh có gắn động cơ tại địa phương."
Xe cứu hộ giao thông đường bộ phải có những gì?,"Phải có dấu hiệu nhận diện, niêm yết thông tin trên xe, gắn thiết bị giám sát hành trình và thiết bị ghi nhận hình ảnh người lái xe."
Nguyên tắc hoạt động của Quỹ giảm thiểu thiệt hại tai nạn giao thông đường bộ là gì?,"Không vì mục đích lợi nhuận; quản lý, sử dụng đúng mục đích, đúng pháp luật, kịp thời, hiệu quả, bảo đảm công khai, minh bạch."
Quỹ giảm thiểu thiệt hại tai nạn giao thông đường bộ được chi cho những hoạt động nào?,"Hỗ trợ nạn nhân, gia đình nạn nhân; hỗ trợ tổ chức giúp đỡ, cứu chữa người bị nạn; hỗ trợ tuyên truyền giảm thiểu thiệt hại."
Khi nào cơ quan Cảnh sát giao thông có thể tạm thời đình chỉ hoạt động giao thông trên một tuyến đường?,"Khi thấy không bảo đảm trật tự, an toàn giao thông đường bộ do nguy cơ mất an toàn đối với công trình đường bộ."
Cơ quan quản lý đường bộ có trách nhiệm gì khi nhận kiến nghị về nguy cơ mất an toàn giao thông?,"Phải tiếp nhận, kiểm tra và khắc phục các yếu tố có nguy cơ mất an toàn, thông báo kết quả khắc phục cho cơ quan Cảnh sát giao thông và tổ chức, cá nhân đã kiến nghị."
Xe ô tô nước ngoài có tay lái bên phải khi vào Việt Nam phải đi theo nguyên tắc nào?,"Phải đi theo đoàn và có người, phương tiện hỗ trợ, hướng dẫn giao thông; tổ chức, cá nhân đưa xe vào phải bố trí xe hướng dẫn giao thông."
Xe cơ giới nước ngoài do người nước ngoài đưa vào Việt Nam du lịch cần đáp ứng điều kiện gì?,"Phải được cơ quan có thẩm quyền cấp phép và chấp hành quy định của pháp luật về trật tự, an toàn giao thông đường bộ của Việt Nam."
Giấy phép lái xe hạng D1 cấp cho đối tượng nào?,"Cấp cho người lái xe ô tô chở người trên 08 chỗ (không kể chỗ người lái xe) đến 16 chỗ (không kể chỗ người lái xe) và các loại xe quy định cho hạng B, C1, C."
Giấy phép lái xe hạng D2 cấp cho đối tượng nào?,"Cấp cho người lái xe ô tô chở người (kể cả xe buýt) trên 16 chỗ đến 29 chỗ (không kể chỗ người lái xe) và các loại xe quy định cho hạng B, C1, C, D1."
Xe chở hàng bốn bánh có gắn động cơ được định nghĩa như thế nào?,"Là xe có từ bốn bánh trở lên, chạy bằng động cơ, để hoạt động trên đường bộ, có kết cấu để chở hàng, có tối đa hai hàng ghế và chở tối đa 05 người (không kể người lái xe), vận tốc thiết kế không lớn hơn 60 km/h và khối lượng bản thân không lớn hơn 550 kg."
Xe chở người bốn bánh có gắn động cơ được định nghĩa như thế nào?,"Là xe có từ bốn bánh trở lên, chạy bằng động cơ, để hoạt động trên đường bộ, có kết cấu để chở người, vận tốc thiết kế không lớn hơn 30 km/h, số người cho phép chở tối đa 15 người (không kể người lái xe)."
Rơ moóc được định nghĩa như thế nào?,"Là xe không có động cơ để di chuyển, được thiết kế sản xuất để hoạt động trên đường bộ, được kéo bởi xe ô tô; phần chủ yếu của khối lượng toàn bộ rơ moóc không đặt lên xe kéo."
Sơ mi rơ moóc khác rơ moóc như thế nào?,Sơ mi rơ moóc được kéo bởi xe ô tô đầu kéo và có một phần đáng kể khối lượng toàn bộ đặt lên xe ô tô đầu kéo.
Xe máy chuyên dùng bao gồm những loại nào?,"Xe máy thi công; xe máy nông nghiệp, lâm nghiệp; máy kéo; rơ moóc, sơ mi rơ moóc được kéo bởi máy kéo; xe máy thực hiện chức năng đặc biệt; các loại xe đặc chủng sử dụng vào mục đích quốc phòng, an ninh."
Chứng chỉ bồi dưỡng kiến thức pháp luật về giao thông đường bộ là gì?,Là giấy chứng nhận cấp cho người có đủ điều kiện theo quy định của pháp luật để điều khiển xe máy chuyên dùng tham gia giao thông đường bộ.
Xe ô tô kinh doanh vận tải kết hợp đưa đón trẻ em mầm non phải có thiết bị gì?,"Phải có thiết bị ghi nhận hình ảnh trẻ em mầm non, học sinh và thiết bị có chức năng cảnh báo, chống bỏ quên trẻ em trên xe."
Ủy ban nhân dân cấp xã có trách nhiệm gì khi có người chết trong vụ tai nạn giao thông không rõ tung tích?,"Có trách nhiệm tổ chức chôn cất sau khi cơ quan nhà nước có thẩm quyền điều tra, giải quyết đồng ý cho chôn cất."
"Khi tai nạn giao thông liên quan đến xe chở hàng hóa nguy hiểm, cơ quan Công an phải làm gì?","Phải thông báo ngay cho đơn vị chức năng về giải quyết hóa chất độc hại, vật liệu cháy, nổ; phong tỏa hiện trường; tổ chức phân luồng giao thông, cấm người đi vào khu vực tai nạn."
Doanh nghiệp bảo hiểm khi nhận được tin báo tai nạn phải làm gì?,Phải cử người trực tiếp hoặc ủy quyền người đại diện đến hiện trường phối hợp với đơn vị giải quyết vụ tai nạn.
Người điều khiển phương tiện khác đi qua nơi xảy ra tai nạn có trách nhiệm gì?,Có trách nhiệm chở người bị thương đi cấp cứu.
Chỉ được sử dụng tín hiệu còi trong những trường hợp nào?,Khi xuất hiện tình huống có thể mất an toàn giao thông; khi chuẩn bị vượt xe.
"Không được sử dụng còi liên tục, đúng hay sai?","Đúng, không được sử dụng còi liên tục."
Người điều khiển phương tiện phải bảo đảm tốc độ phù hợp với những yếu tố nào?,"Phù hợp điều kiện của cầu, đường, mật độ giao thông, địa hình, thời tiết và các yếu tố ảnh hưởng khác."
Phải giảm tốc độ hoặc dừng lại tại những nơi nào?,"Nơi có vạch kẻ dành cho người đi bộ; nơi có báo hiệu cảnh báo nguy hiểm; nơi chuyển hướng hoặc tầm nhìn bị hạn chế; nơi đường giao nhau; khu vực trường học, bệnh viện; khu đông dân cư; nơi có vật nuôi..."
Khi nào người điều khiển phương tiện phải giảm tốc độ khi gặp đoàn người đi bộ?,Khi gặp đoàn người đi bộ trên đường.
"Khi nào người điều khiển phương tiện phải giảm tốc độ khi gặp xe siêu trường, siêu trọng?","Khi gặp xe vận chuyển hàng siêu trường, siêu trọng, hàng hóa nguy hiểm."
Phần đường xe chạy được định nghĩa như thế nào?,Là phần của đường bộ được sử dụng cho phương tiện giao thông đường bộ đi lại.
Phương tiện tham gia giao thông đường bộ là gì?,Là phương tiện giao thông đường bộ tham gia giao thông trên đường bộ.
Người điều khiển phương tiện tham gia giao thông đường bộ bao gồm những ai?,Người điều khiển xe cơ giới (người lái xe); người điều khiển xe thô sơ; người điều khiển xe máy chuyên dùng.
Bộ trưởng Bộ Giao thông vận tải có trách nhiệm gì về báo hiệu đường bộ?,"Ban hành quy chuẩn kỹ thuật quốc gia về báo hiệu đường bộ, trừ hiệu lệnh của người điều khiển giao thông."
Bộ trưởng Bộ Công an có trách nhiệm gì về hiệu lệnh của người điều khiển giao thông?,Quy định chi tiết hiệu lệnh của người điều khiển giao thông.
Bộ trưởng Bộ Giao thông vận tải quy định gì về tốc độ và khoảng cách an toàn?,"Quy định chi tiết về tốc độ và khoảng cách an toàn của xe cơ giới, xe máy chuyên dùng tham gia giao thông đường bộ."
"Cơ quan, tổ chức, cá nhân phát hiện tình huống đột xuất gây mất trật tự an toàn giao thông phải làm gì?",Phải kịp thời báo cho cơ quan Công an nơi gần nhất hoặc cơ quan quản lý đường bộ; phải thực hiện biện pháp cảnh báo an toàn ngay cho người tham gia giao thông.
"Khi xuất hiện ùn tắc giao thông, cơ quan Cảnh sát giao thông phải làm gì?","Có phương án chỉ huy, điều khiển giao thông; xử lý vi phạm; kiến nghị cơ quan có thẩm quyền giải quyết và phòng ngừa ùn tắc."
Tiền thu từ đấu giá biển số xe sau khi trừ chi phí được xử lý như thế nào?,Được nộp vào ngân sách trung ương theo quy định của pháp luật về ngân sách nhà nước.
"Khi ở trên xe và khi xuống phà, thứ tự nào được ưu tiên?","Khi xuống phà: xe cơ giới, xe máy chuyên dùng xuống trước, xe thô sơ, người đi bộ xuống sau."
Điều kiện đối với người học nâng hạng giấy phép lái xe là gì?,"Giấy phép lái xe còn hiệu lực, phải có đủ thời gian lái xe an toàn quy định cho từng hạng."
Giấy phép lái xe được cấp cho người có kết quả sát hạch như thế nào?,Được cấp cho người tham dự kỳ sát hạch lái xe có kết quả đạt yêu cầu.
Người điều khiển phương tiện không được dừng xe tại những vị trí nào?,"Bên trái đường một chiều; trên đoạn đường cong hoặc gần đầu dốc tầm nhìn bị che khuất; trên cầu; gầm cầu vượt; song song cùng chiều với xe khác đang dừng, đỗ; trên phần đường dành cho người đi bộ; nơi đường giao nhau..."
Xe đỗ trên đường phố phải đỗ như thế nào?,"Phải đỗ sát theo lề đường, vỉa hè phía bên phải theo chiều đi; bánh xe gần nhất không được cách xa lề đường, vỉa hè quá 0,25 mét."
"Người điều khiển phương tiện khi dừng, đỗ xe phải thực hiện những quy định nào?","Phải có tín hiệu báo cho người điều khiển khác biết khi ra, vào vị trí dừng xe, đỗ xe; không làm ảnh hưởng đến người đi bộ và các phương tiện tham gia giao thông."
"Khi gặp sự cố kỹ thuật buộc phải đỗ xe chiếm phần đường, phải làm gì?",Phải có báo hiệu bằng đèn khẩn cấp hoặc đặt biển cảnh báo về phía sau xe để người điều khiển phương tiện khác biết.
Người điều khiển phương tiện khi dừng xe không được làm gì?,"Không được tắt máy và không được rời khỏi vị trí lái (trừ một số trường hợp như đóng, mở cửa xe, xếp dỡ hàng hóa, kiểm tra kỹ thuật xe nhưng phải sử dụng phanh đỗ)."
"Khi đỗ xe, người điều khiển chỉ được rời khỏi xe khi nào?",Khi đã sử dụng phanh đỗ xe hoặc thực hiện biện pháp an toàn khác.
Việc chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường của xe cơ giới do ai thực hiện?,Do đăng kiểm viên thực hiện và được cơ quan có thẩm quyền cấp chứng nhận.
Đăng kiểm viên là ai?,"Là người được cấp chứng chỉ chuyên môn về chứng nhận, kiểm định xe cơ giới, xe máy chuyên dùng."
"Kiểm định an toàn kỹ thuật của xe cơ giới, xe máy chuyên dùng do ai thực hiện?",Do đăng kiểm viên của cơ sở đăng kiểm thực hiện.
Cơ sở đăng kiểm là gì?,"Là tổ chức cung cấp dịch vụ công thực hiện kiểm định an toàn kỹ thuật và bảo vệ môi trường đối với xe cơ giới, xe máy chuyên dùng."
"Tổ chức, cá nhân vi phạm pháp luật giao thông chưa thực hiện xong yêu cầu của cơ quan có thẩm quyền thì được giải quyết đăng ký, đăng kiểm không?","Chưa được giải quyết việc đăng ký, đăng kiểm phương tiện vi phạm."
Báo hiệu đường bộ bao gồm những loại nào?,"Hiệu lệnh của người điều khiển giao thông; đèn tín hiệu giao thông; biển báo hiệu đường bộ; vạch kẻ đường và các dấu hiệu khác trên mặt đường; cọc tiêu, tường bảo vệ, rào chắn, đinh phản quang, tiêu phản quang, cột Km, cọc H; thiết bị âm thanh báo hiệu đường bộ."
Vạch kẻ đường có tác dụng gì?,"Là vạch chỉ sự phân chia làn đường, vị trí hoặc hướng đi, vị trí dừng lại."
"Cọc tiêu, tường bảo vệ có tác dụng gì?",Để hướng dẫn cho người tham gia giao thông đường bộ biết phạm vi an toàn của nền đường và hướng đi của đường.
Rào chắn có tác dụng gì?,"Để ngăn không cho người, phương tiện qua lại."
"Đinh phản quang, tiêu phản quang có tác dụng gì?","Để thông tin, cảnh báo về phần đường, làn đường."
"Cột Km, cọc H có tác dụng gì?",Để báo hiệu cho người tham gia giao thông đường bộ về các thông tin của đường bộ.
Thiết bị âm thanh báo hiệu đường bộ có tác dụng gì?,Để hỗ trợ cảnh báo nguy hiểm cho người tham gia giao thông đường bộ.
Biển phụ có tác dụng gì?,"Để thuyết minh bổ sung cho biển báo cấm, biển báo nguy hiểm, biển hiệu lệnh và biển chỉ dẫn."
"Khi phát hiện nguy cơ mất an toàn đối với công trình đường bộ, cơ quan Cảnh sát giao thông phải làm gì?","Xử lý, khắc phục trong phạm vi quản lý hoặc kiến nghị cơ quan quản lý đường bộ xử lý, khắc phục kịp thời."
Tình huống đột xuất gây mất trật tự an toàn giao thông trên đường bộ bao gồm những tình huống nào?,"Ùn tắc giao thông; tai nạn giao thông đường bộ; hư hỏng kết cấu hạ tầng giao thông; thiên tai, cháy, nổ; tình huống phức tạp về an ninh, trật tự trên đường bộ."
"Khi huy động người, phương tiện dân sự trong trường hợp cấp bách, sau khi chấm dứt cấp bách phải làm gì?",Người chỉ huy trực tiếp của Cảnh sát giao thông có trách nhiệm hoàn trả ngay.
Người lái xe ô tô kinh doanh vận tải nội bộ có nghĩa vụ gì về thời gian làm việc?,"Phải tuân thủ quy định về thời gian lái xe không quá 10 giờ/ngày, không quá 48 giờ/tuần và lái xe liên tục không quá 04 giờ."
Hành vi không khai báo hoặc khai báo gian dối để trốn tránh trách nhiệm vi phạm giao thông có bị cấm không?,"Có, đây là hành vi bị nghiêm cấm."
"Khi kiểm tra phương tiện, người điều khiển được phép đề nghị gì?","Được giải trình, khiếu nại, khởi kiện quyết định hành chính, hành vi hành chính liên quan đến quyền và lợi ích hợp pháp của mình."
Trường hợp giấy tờ đã được tích hợp vào tài khoản định danh điện tử thì việc xuất trình được thực hiện như thế nào?,"Việc xuất trình, kiểm tra có thể thực hiện thông qua tài khoản định danh điện tử."
Luật Giao thông đường bộ số 23/2008/QH12 hết hiệu lực khi nào?,"Kể từ ngày Luật Trật tự, an toàn giao thông đường bộ số 36/2024/QH15 có hiệu lực thi hành (01/01/2025), trừ một số trường hợp chuyển tiếp."
Giấy phép lái xe cấp trước ngày Luật 36/2024/QH15 có hiệu lực được sử dụng như thế nào?,Được tiếp tục sử dụng theo thời hạn ghi trên giấy phép lái xe.
Giấy phép lái xe hạng A2 cũ được đổi sang hạng nào theo Luật mới?,"Được đổi, cấp lại sang giấy phép lái xe hạng A."
Giấy phép lái xe hạng A3 cũ được đổi sang hạng nào theo Luật mới?,"Được đổi, cấp lại sang giấy phép lái xe hạng B1."
Giấy phép lái xe hạng D cũ được đổi sang hạng nào theo Luật mới?,"Được đổi, cấp lại sang giấy phép lái xe hạng D2."
Giấy phép lái xe hạng E cũ được đổi sang hạng nào theo Luật mới?,"Được đổi, cấp lại sang giấy phép lái xe hạng D."
Giấy phép lái xe hạng B1 số tự động cũ được đổi sang hạng nào và với điều kiện gì?,Được đổi sang hạng B với điều kiện hạn chế là chỉ được điều khiển xe ô tô số tự động.
Giấy phép lái xe hạng A1 cũ được đổi sang hạng nào và với điều kiện gì?,Được đổi sang hạng A với điều kiện hạn chế là chỉ được điều khiển xe mô tô hai bánh có dung tích xi-lanh đến dưới 175 cm³ hoặc công suất động cơ điện đến dưới 14 kW.
"Chứng nhận đăng ký xe, biển số xe máy chuyên dùng cấp trước ngày Luật này có hiệu lực có còn giá trị không?",Vẫn có giá trị sử dụng.
Chứng nhận chất lượng an toàn kỹ thuật được cấp trước ngày Luật này có hiệu lực có còn giá trị không?,Có giá trị sử dụng đến hết thời hạn ghi trên giấy chứng nhận đó.
